time	cash	debt	workers	profit	revenue	demand	previous_demand	hiring	layoffs
0	1,000	0	120	-300,000	0	280	279	16	0
1	-299,000	0	136	-257,850	140,500	281	280	16	0
2	-556,850	0	153	-257,700	141,000	282	281	16	0
3	-814,550	0	169	-257,100	143,000	286	282	17	0
4	-1,071,650	0	186	-257,700	141,000	282	286	16	0
5	-1,329,350	0	202	-256,800	144,000	288	282	17	0
6	-1,586,150	0	219	-257,250	142,500	285	288	17	0
7	-1,843,400	0	236	-257,700	141,000	282	285	16	0
8	-2,101,100	0	252	-258,000	140,000	280	282	16	0
9	-2,359,100	0	269	-258,300	139,000	278	280	16	0
10	-2,617,400	0	285	-258,450	138,500	277	278	16	0
11	-2,875,850	0	301	-258,450	138,500	277	277	16	0
12	-3,134,300	0	318	-258,600	138,000	276	277	16	0
