t    cash    debt  cash_ratio  factory_count  factory_production   inventory       sales  demand        revenue  research_cost  marketing_cost     wage_cost         profit
                                                                                                                                                                                   
0.0    1000.000000  2000.0    2.000000            1.2               360.0    0.000000    0.000000     500       0.000000       0.000000        0.000000      0.000000       0.000000
0.1    1000.000000  2000.0    2.000000            1.2               360.0   36.000000   36.000000     500   18000.000000    1800.000000     1800.000000   3600.000000   10800.000000
0.2    2080.000000  2000.0    0.961538            1.2               360.0   68.400000   68.400000     500   34200.000000    3420.000000     3420.000000   6840.000000   20520.000000
0.3    4132.000000  2000.0    0.484027            1.2               360.0   97.560000   97.560000     500   48780.000000    4878.000000     4878.000000   9756.000000   29268.000000
0.4    7058.800000  2000.0    0.283334            1.2               360.0  123.804000  123.804000     500   61902.000000    6190.200000     6190.200000  12380.400000   37141.200000
0.5   10772.920000  2000.0    0.185651            1.2               360.0  147.423600  147.423600     500   73711.800000    7371.180000     7371.180000  14742.360000   44227.080000
0.6   15195.628000  2000.0    0.131617            1.2               360.0  168.681240  168.681240     500   84340.620000    8434.062000     8434.062000  16868.124000   50604.372000
0.7   20256.065200  2000.0    0.098736            1.2               360.0  187.813116  187.813116     500   93906.558000    9390.655800     9390.655800  18781.311600   56343.934800
0.8   25890.458680  2000.0    0.077249            1.2               360.0  205.031804  205.031804     500  102515.902200   10251.590220    10251.590220  20503.180440   61509.541320
0.9   32041.412812  2000.0    0.062419            1.2               360.0  220.528624  220.528624     500  110264.311980   11026.431198    11026.431198  22052.862396   66158.587188
1.0   38657.271531  2000.0    0.051737            1.2               360.0  234.475762  234.475762     500  117237.880782   11723.788078    11723.788078  23447.576156   70342.728469
1.1   45691.544378  2000.0    0.043772            1.2               360.0  247.028185  247.028185     500  123514.092704   12351.409270    12351.409270  24702.818541   74108.455622
1.2   53102.389940  2000.0    0.037663            1.2               360.0  258.325367  258.325367     500  129162.683433   12916.268343    12916.268343  25832.536687   77497.610060
1.3   60852.150946  2000.0    0.032867            1.2               360.0  268.492830  268.492830     500  134246.415090   13424.641509    13424.641509  26849.283018   80547.849054
1.4   68906.935851  2000.0    0.029025            1.2               360.0  277.643547  277.643547     500  138821.773581   13882.177358    13882.177358  27764.354716   83293.064149
1.5   77236.242266  2000.0    0.025895            1.2               360.0  285.879192  285.879192     500  142939.596223   14293.959622    14293.959622  28587.919245   85763.757734
1.6   85812.618040  2000.0    0.023307            1.2               360.0  293.291273  293.291273     500  146645.636601   14664.563660    14664.563660  29329.127320   87987.381960
1.7   94611.356236  2000.0    0.021139            1.2               360.0  299.962146  299.962146     500  149981.072941   14998.107294    14998.107294  29996.214588   89988.643764
1.8  103610.220612  2000.0    0.019303            1.2               360.0  305.965931  305.965931     500  152982.965647   15298.296565    15298.296565  30596.593129   91789.779388
1.9  112789.198551  2000.0    0.017732            1.2               360.0  311.369338  311.369338     500  155684.669082   15568.466908    15568.466908  31136.933816   93410.801449
2.0  122130.278696  2000.0    0.016376            1.2               360.0  316.232404  316.232404     500  158116.202174   15811.620217    15811.620217  31623.240435   94869.721304
2.1  131617.250826  2000.0    0.015196            1.2               360.0  320.609164  320.609164     500  160304.581956   16030.458196    16030.458196  32060.916391   96182.749174
2.2  141235.525744  2000.0    0.014161            1.2               360.0  324.548248  324.548248     500  162274.123761   16227.412376    16227.412376  32454.824752   97364.474256
2.3  150971.973169  2000.0    0.013247            1.2               360.0  328.093423  328.093423     500  164046.711385   16404.671138    16404.671138  32809.342277   98428.026831
2.4  160814.775852  2000.0    0.012437            1.2               360.0  331.284080  331.284080     500  165642.040246   16564.204025    16564.204025  33128.408049   99385.224148
2.5  170753.298267  2000.0    0.011713            1.2               360.0  334.155672  334.155672     500  167077.836222   16707.783622    16707.783622  33415.567244  100246.701733
2.6  180777.968440  2000.0    0.011063            1.2               360.0  336.740105  336.740105     500  168370.052599   16837.005260    16837.005260  33674.010520  101022.031560
2.7  190880.171596  2000.0    0.010478            1.2               360.0  339.066095  339.066095     500  169533.047339   16953.304734    16953.304734  33906.609468  101719.828404
2.8  201052.154437  2000.0    0.009948            1.2               360.0  341.159485  341.159485     500  170579.742606   17057.974261    17057.974261  34115.948521  102347.845563
2.9  211286.938993  2000.0    0.009466            1.2               360.0  343.043537  343.043537     500  171521.768345   17152.176834    17152.176834  34304.353669  102913.061007
3.0  221578.245094  2000.0    0.009026            1.2               360.0  344.739183  344.739183     500  172369.591510   17236.959151    17236.959151  34473.918302  103421.754906
3.1  231920.420584  2000.0    0.008624            1.2               360.0  346.265265  346.265265     500  173132.632359   17313.263236    17313.263236  34626.526472  103879.579416
3.2  242308.378526  2000.0    0.008254            1.2               360.0  347.638738  347.638738     500  173819.369123   17381.936912    17381.936912  34763.873825  104291.621474
3.3  252737.540673  2000.0    0.007913            1.2               360.0  348.874864  348.874864     500  174437.432211   17443.743221    17443.743221  34887.486442  104662.459327
3.4  263203.786606  2000.0    0.007599            1.2               360.0  349.987378  349.987378     500  174993.688990   17499.368899    17499.368899  34998.737798  104996.213394
3.5  273703.407945  2000.0    0.007307            1.2               360.0  350.988640  350.988640     500  175494.320091   17549.432009    17549.432009  35098.864018  105296.592055
3.6  284233.067151  2000.0    0.007036            1.2               360.0  351.889776  351.889776     500  175944.888082   17594.488808    17594.488808  35188.977616  105566.932849
3.7  294789.760436  2000.0    0.006784            1.2               360.0  352.700799  352.700799     500  176350.399274   17635.039927    17635.039927  35270.079855  105810.239564
3.8  305370.784392  2000.0    0.006549            1.2               360.0  353.430719  353.430719     500  176715.359346   17671.535935    17671.535935  35343.071869  106029.215608
3.9  315973.705953  2000.0    0.006330            1.2               360.0  354.087647  354.087647     500  177043.823412   17704.382341    17704.382341  35408.764682  106226.294047
4.0  326596.335358  2000.0    0.006124            1.2               360.0  354.678882  354.678882     500  177339.441071   17733.944107    17733.944107  35467.888214  106403.664642
4.1  337236.701822  2000.0    0.005931            1.2               360.0  355.210994  355.210994     500  177605.496963   17760.549696    17760.549696  35521.099393  106563.298178
4.2  347893.031640  2000.0    0.005749            1.2               360.0  355.689895  355.689895     500  177844.947267   17784.494727    17784.494727  35568.989453  106706.968360
4.3  358563.728476  2000.0    0.005578            1.2               360.0  356.120905  356.120905     500  178060.452540   17806.045254    17806.045254  35612.090508  106836.271524
4.4  369247.355628  2000.0    0.005416            1.2               360.0  356.508815  356.508815     500  178254.407286   17825.440729    17825.440729  35650.881457  106952.644372
4.5  379942.620065  2000.0    0.005264            1.2               360.0  356.857933  356.857933     500  178428.966558   17842.896656    17842.896656  35685.793312  107057.379935
4.6  390648.358059  2000.0    0.005120            1.2               360.0  357.172140  357.172140     500  178586.069902   17858.606990    17858.606990  35717.213980  107151.641941
4.7  401363.522253  2000.0    0.004983            1.2               360.0  357.454926  357.454926     500  178727.462912   17872.746291    17872.746291  35745.492582  107236.477747
4.8  412087.170028  2000.0    0.004853            1.2               360.0  357.709433  357.709433     500  178854.716621   17885.471662    17885.471662  35770.943324  107312.829972
4.9  422818.453025  2000.0    0.004730            1.2               360.0  357.938490  357.938490     500  178969.244959   17896.924496    17896.924496  35793.848992  107381.546975
5.0  433556.607722  2000.0    0.004613            1.2               360.0  358.144641  358.144641     500  179072.320463   17907.232046    17907.232046  35814.464093  107443.392278
